scenario_id,retrofit,hp_type,climate_zone,hdd,envelope_class,price_scenario,npv,annual_savings,payback_years,baseline_gas_therms,hp_electricity_kwh,baseline_emissions_kg,hp_emissions_kg,emissions_reduction_kg,total_investment,viability_score,is_viable
130,insulation_attic,standard,Cold,7000,Medium,base,-15504.292527950241,-0.41355196235294156,999.0,1.3103999999999998,13.249942588235294,6.945119999999998,5.114477839058823,1.8306421609411752,15500,0.2488073809523809,False
131,insulation_attic,standard,Cold,7000,Medium,high,-15509.85431624026,-0.9493873694117649,999.0,1.3103999999999998,13.249942588235294,6.945119999999998,5.114477839058823,1.8306421609411752,15500,0.07899499999999998,False
132,insulation_attic,standard,Cold,7000,Good,low,-15500.86863621445,-0.08368640000000005,999.0,1.1424,12.470080000000001,6.0547200000000005,4.81345088,1.2412691200000001,15500,0.24908333333333332,False
133,insulation_attic,standard,Cold,7000,Good,base,-15505.077429778124,-0.48917120000000014,999.0,1.1424,12.470080000000001,6.0547200000000005,4.81345088,1.2412691200000001,15500,0.1647508333333333,False
134,insulation_attic,standard,Cold,7000,Good,high,-15510.689154529698,-1.0298176000000003,999.0,1.1424,12.470080000000001,6.0547200000000005,4.81345088,1.2412691200000001,15500,0.052307499999999986,False
135,insulation_attic,cold_climate,Mild,3000,Poor,low,-18499.428779541362,0.055032685714285656,336163.858984583,0.42240000000000005,3.5360914285714298,2.2387200000000003,1.3649312914285718,0.8737887085714284,18500,0.9016666666666666,True
136,insulation_attic,cold_climate,Mild,3000,Poor,base,-18500.315674463985,-0.03041280000000013,999.0,0.42240000000000005,3.5360914285714298,2.2387200000000003,1.3649312914285718,0.8737887085714284,18500,0.5963880952380951,True
137,insulation_attic,cold_climate,Mild,3000,Poor,high,-18501.498201027476,-0.14434011428571447,999.0,0.42240000000000005,3.5360914285714298,2.2387200000000003,1.3649312914285718,0.8737887085714284,18500,0.18934999999999996,False
138,insulation_attic,cold_climate,Mild,3000,Medium,low,-18499.753951570394,0.023704868571428506,780430.3974204718,0.3744,3.4476891428571435,1.98432,1.3308080091428574,0.6535119908571427,18500,0.6672333333333332,True
139,insulation_attic,cold_climate,Mild,3000,Medium,base,-18500.735258439025,-0.07083648000000009,999.0,0.3744,3.4476891428571435,1.98432,1.3308080091428574,0.6535119908571427,18500,0.4413271904761904,False
140,insulation_attic,cold_climate,Mild,3000,Medium,high,-18502.043667597216,-0.1968916114285716,999.0,0.3744,3.4476891428571435,1.98432,1.3308080091428574,0.6535119908571427,18500,0.14011899999999997,False
141,insulation_attic,cold_climate,Mild,3000,Good,low,-18499.984028375333,0.0015387428571428385,12022801.544860514,0.3264,3.2447657142857147,1.7299200000000001,1.252479565714286,0.47744043428571414,18500,0.44181666666666664,False
142,insulation_attic,cold_climate,Mild,3000,Good,base,-18500.98842577193,-0.09522720000000001,999.0,0.3264,3.2447657142857147,1.7299200000000001,1.252479565714286,0.47744043428571414,18500,0.2922301666666666,False
143,insulation_attic,cold_climate,Mild,3000,Good,high,-18502.327622300734,-0.22424845714285724,999.0,0.3264,3.2447657142857147,1.7299200000000001,1.252479565714286,0.47744043428571414,18500,0.09278149999999998,False
144,insulation_attic,cold_climate,Moderate,5000,Poor,low,-18498.809957377845,0.11465142857142863,161358.65231259962,0.88,7.3668571428571425,4.664,2.843606857142857,1.8203931428571427,18500,0.7050000000000001,True
145,insulation_attic,cold_climate,Moderate,5000,Poor,base,-18500.657655133295,-0.06335999999999997,999.0,0.88,7.3668571428571425,4.664,2.843606857142857,1.8203931428571427,18500,0.46630714285714286,False
146,insulation_attic,cold_climate,Moderate,5000,Poor,high,-18503.12125214057,-0.3007085714285713,999.0,0.88,7.3668571428571425,4.664,2.843606857142857,1.8203931428571427,18500,0.14805,False
147,insulation_attic,cold_climate,Moderate,5000,Medium,low,-18499.487399104975,0.049385142857142905,374606.59076182503,0.78,7.182685714285715,4.134,2.772516685714286,1.3614833142857141,18500,0.5217,True
148,insulation_attic,cold_climate,Moderate,5000,Medium,base,-18501.531788414643,-0.14757600000000015,999.0,0.78,7.182685714285715,4.134,2.772516685714286,1.3614833142857141,18500,0.34506728571428574,False
149,insulation_attic,cold_climate,Moderate,5000,Medium,high,-18504.257640827527,-0.4101908571428574,999.0,0.78,7.182685714285715,4.134,2.772516685714286,1.3614833142857141,18500,0.10955699999999999,False
150,insulation_attic,cold_climate,Moderate,5000,Good,low,-18499.96672578195,0.003205714285714256,5770944.74153303,0.68,6.759928571428572,3.604,2.609332428571429,0.9946675714285709,18500,0.34545000000000003,False
151,insulation_attic,cold_climate,Moderate,5000,Good,base,-18502.059220358195,-0.19839000000000007,999.0,0.68,6.759928571428572,3.604,2.609332428571429,0.9946675714285709,18500,0.2284905,False
152,insulation_attic,cold_climate,Moderate,5000,Good,high,-18504.849213126523,-0.46718428571428583,999.0,0.68,6.759928571428572,3.604,2.609332428571429,0.9946675714285709,18500,0.0725445,False
153,insulation_attic,cold_climate,Cold,7000,Poor,low,-18499.814309138834,0.017889882352940978,1034104.061447823,1.4784,14.560376470588237,7.83552,5.62030531764706,2.21521468235294,18500,0.5083333333333333,True
154,insulation_attic,cold_climate,Cold,7000,Poor,base,-18504.278626926054,-0.41221270588235326,999.0,1.4784,14.560376470588237,7.83552,5.62030531764706,2.21521468235294,18500,0.3362261904761904,False
155,insulation_attic,cold_climate,Cold,7000,Poor,high,-18510.231050642342,-0.9856828235294119,999.0,1.4784,14.560376470588237,7.83552,5.62030531764706,2.21521468235294,18500,0.10674999999999997,False
156,insulation_attic,cold_climate,Cold,7000,Medium,low,-18500.907071721824,-0.08738936470588232,999.0,1.3103999999999998,14.196367058823528,6.945119999999998,5.479797684705882,1.4653223152941166,18500,0.37616666666666665,False
157,insulation_attic,cold_climate,Cold,7000,Medium,base,-18505.667826681154,-0.5460513882352942,999.0,1.3103999999999998,14.196367058823528,6.945119999999998,5.479797684705882,1.4653223152941166,18500,0.2488073809523809,False
158,insulation_attic,cold_climate,Cold,7000,Medium,high,-18512.01549996027,-1.1576007529411765,999.0,1.3103999999999998,14.196367058823528,6.945119999999998,5.479797684705882,1.4653223152941166,18500,0.07899499999999998,False
159,insulation_attic,cold_climate,Cold,7000,Good,low,-18501.60826573507,-0.15494399999999997,999.0,1.1424,13.360800000000001,6.0547200000000005,5.157268800000001,0.8974511999999999,18500,0.24908333333333332,False
160,insulation_attic,cold_climate,Cold,7000,Good,base,-18506.37178143921,-0.6138720000000002,999.0,1.1424,13.360800000000001,6.0547200000000005,5.157268800000001,0.8974511999999999,18500,0.1647508333333333,False
161,insulation_attic,cold_climate,Cold,7000,Good,high,-18512.723135711407,-1.2257760000000002,999.0,1.1424,13.360800000000001,6.0547200000000005,5.157268800000001,0.8974511999999999,18500,0.052307499999999986,False
162,insulation_walls,standard,Mild,3000,Poor,low,-19999.061745343155,0.09039360000000002,221254.60209572356,0.42240000000000005,3.0940800000000004,2.2387200000000003,1.19431488,1.0444051200000002,20000,0.9016666666666666,True
163,insulation_walls,standard,Mild,3000,Poor,base,-19999.673364617138,0.03146880000000002,635550.1321944271,0.42240000000000005,3.0940800000000004,2.2387200000000003,1.19431488,1.0444051200000002,20000,0.5963880952380951,True
