HDD65,log_sqft,building_age,envelope_score,hdd_sqft,age_hdd,sqft_per_hdd,hdd_squared,envelope_class_encoded,climate_zone_encoded,TYPEHUQ,ADQINSUL,DRAFTY
6472,4.605170185988092,55,8.0,0.0,35.596,0.0,4.1886784,1,0,2,2,4
6112,7.396335293800808,65,8.0,9.96256,39.728,0.26668848167539266,3.7356544,1,0,2,2,4
4130,4.605170185988092,65,7.0,0.0,26.845,0.0,1.70569,1,2,2,4,3
3207,8.070906088787819,15,11.0,10.2624,4.8105,0.9978172747115684,1.0284849,0,2,2,1,4
5871,7.047517221357296,80,5.0,6.75165,46.968,0.19587804462612843,3.4468641,2,2,2,2,4
7146,7.90100705199242,2,12.0,19.2942,1.4292,0.3778337531486146,5.1065316,0,0,2,1,4
4337,7.333023014386481,15,12.0,6.63561,6.5055,0.35277841826147105,1.8809569,0,2,2,2,3
7168,7.090076835776092,80,7.0,8.6016,57.344,0.16741071428571427,5.1380224,1,0,2,2,3
4717,7.783224016336037,55,9.0,11.3208,25.9435,0.5087979648081408,2.2250089,1,2,2,1,4
1247,7.4673710669175595,15,12.0,2.18225,1.8705,1.4033680834001603,0.1555009,0,1,2,2,3
3345,5.634789603169249,80,9.0,0.9366,26.76,0.08370702541106129,1.1189025,1,2,2,2,3
6088,4.605170185988092,15,11.0,0.0,9.132,0.0,3.7063744,0,0,2,1,4
7077,7.5652752818989315,45,11.0,13.65861,31.8465,0.27271442701709764,5.0083929,0,0,2,2,3
1127,6.856461984594587,35,9.0,1.07065,3.9445,0.8429458740017747,0.1270129,1,1,2,2,3
5082,6.396929655216146,80,0.0,3.0492,40.656,0.1180637544273908,2.5826724,2,2,2,4,1
1167,7.24422751560335,35,10.0,1.6338,4.0845,1.1996572407883461,0.1361889,1,1,2,1,4
6995,6.461468176353717,65,10.0,4.4768,45.4675,0.091493924231594,4.8930025,1,0,2,2,3
2752,7.8119734296220225,15,13.0,6.79744,4.128,0.8975290697674418,0.7573504,0,1,2,1,3
4531,7.003065458786462,45,9.0,4.9841,20.3895,0.24277201500772455,2.0529961,1,2,2,2,4
1220,7.824046010856292,15,11.0,3.05,1.83,2.0491803278688523,0.14884,0,1,3,1,4
4288,4.605170185988092,55,6.0,0.0,23.584,0.0,1.8386944,1,2,3,3,3
2624,8.375629627094451,7,12.0,11.38816,1.8368,1.6539634146341464,0.6885376,0,1,2,1,4
2293,7.590852123688581,45,10.0,4.54014,10.3185,0.8634976013955517,0.5257849,1,1,2,1,4
4289,6.1092475827643655,80,9.0,1.93005,34.312,0.1049195616693868,1.8395521,1,2,3,2,3
4208,6.309918278226516,65,3.0,2.3144,27.352,0.13070342205323193,1.7707264,2,2,5,4,4
5223,7.575584651557793,80,9.0,10.18485,41.784,0.3733486502010339,2.7279729,1,2,2,2,3
4455,7.003065458786462,25,10.0,4.9005,11.1375,0.24691358024691357,1.9847025,1,2,2,2,4
2924,7.783224016336037,35,7.0,7.0176,10.234,0.8207934336525308,0.8549776,1,1,2,2,4
6711,8.045588280803528,35,9.0,20.93832,23.4885,0.46490835940992403,4.5037521,1,0,2,2,4
5033,7.723120092266331,25,11.0,11.37458,12.5825,0.4490363600238426,2.5331089,0,2,2,1,4
6056,6.697034247666484,80,7.0,4.90536,48.448,0.13375165125495375,3.6675136,1,0,2,2,4
7027,7.709756864454165,25,13.0,15.67021,17.5675,0.3173473744129785,4.9378729,0,0,2,1,4
7395,4.605170185988092,2,12.0,0.0,1.479,0.0,5.4686025,0,0,3,1,4
9081,7.27931883541462,15,10.0,13.16745,13.6215,0.15967404470873253,8.2464561,1,0,3,2,3
4251,6.897704943128636,45,11.0,4.20849,19.1295,0.23288637967537051,1.8071001,0,2,3,2,3
7183,7.8632667240095735,55,9.0,18.6758,39.5065,0.36196575247111235,5.1595489,1,0,2,1,4
6436,7.3777589082278725,65,6.0,10.2976,41.834,0.24860161591050342,4.1422096,1,0,2,3,2
5122,7.783224016336037,55,8.0,12.2928,28.171,0.46856696602889497,2.6234884,1,2,2,2,4
4277,6.709304340258298,80,9.0,3.50714,34.216,0.1917231704465747,1.8292729,1,2,3,2,3
7719,7.313220387090301,80,7.0,11.5785,61.752,0.194325689856199,5.9582961,1,0,2,2,4
5504,6.461468176353717,35,11.0,3.52256,19.264,0.11627906976744186,3.0294016,0,2,1,2,3
6218,7.630461261783627,15,10.0,12.80908,9.327,0.3312962367320682,3.8663524,1,0,2,2,4
4415,7.757906208351747,35,12.0,10.3311,15.4525,0.5300113250283126,1.9492225,0,2,2,1,4
4080,7.4205789054108005,80,8.0,6.8136,32.64,0.40931372549019607,1.66464,1,2,2,1,4
1396,7.803843303538772,7,11.0,3.4202,0.9772,1.7550143266475644,0.1948816,0,1,2,2,4
5248,7.090076835776092,35,11.0,6.2976,18.368,0.22865853658536586,2.7541504,0,2,4,2,3
948,7.215239978730097,65,9.0,1.28928,6.162,1.4345991561181435,0.0898704,1,1,2,1,4
1583,7.783224016336037,2,12.0,3.7992,0.3166,1.5161086544535691,0.2505889,0,1,2,1,4
4215,6.659293919683638,15,8.0,3.2877,6.3225,0.18505338078291814,1.7766225,1,2,3,2,4
2869,6.476972362889683,15,11.0,1.86485,4.3035,0.2265597769257581,0.8231161,0,1,3,1,2
5233,7.090076835776092,80,9.0,6.2796,41.864,0.22931396904261417,2.7384289,1,2,4,2,3
1214,6.813444599510896,65,6.0,1.10474,7.891,0.7495881383855024,0.1473796,1,1,2,3,4
4382,8.163371316459912,15,12.0,15.38082,6.573,0.8010041077133729,1.9201924,0,2,2,2,3
6022,7.313220387090301,15,10.0,9.033,9.033,0.24908668216539356,3.6264484,1,0,2,2,4
7070,4.605170185988092,65,10.0,0.0,45.955,0.0,4.99849,1,0,2,2,3
2008,7.528331766707247,15,12.0,3.73488,3.012,0.9262948207171314,0.4032064,0,1,2,2,3
5348,4.605170185988092,65,8.0,0.0,34.762,0.0,2.8601104,1,2,2,2,4
4903,4.605170185988092,55,8.0,0.0,26.9665,0.0,2.4039409,1,2,2,3,3
2233,7.8160138391590275,15,11.0,5.53784,3.3495,1.1106135244066278,0.4986289,0,1,2,1,4
6275,7.22983877815125,80,5.0,8.6595,50.2,0.2199203187250996,3.9375625,2,0,2,3,2
4960,7.8632667240095735,80,8.0,12.896,39.68,0.5241935483870968,2.46016,1,2,2,1,4
6905,7.969011781106478,15,13.0,19.95545,10.3575,0.4185372918175235,4.7679025,0,0,2,1,3
6262,6.802394763324311,55,9.0,5.6358,34.441,0.14372404982433729,3.9212644,1,0,2,1,4
5688,7.313220387090301,15,10.0,8.532,8.532,0.26371308016877637,3.2353344,1,2,3,2,2
5535,7.649692623711514,15,10.0,11.6235,8.3025,0.3794037940379404,3.0636225,1,2,2,2,4
5913,7.24422751560335,25,13.0,8.2782,14.7825,0.2367664468121089,3.4963569,0,2,3,1,3
6041,7.937374696163295,55,8.0,16.9148,33.2255,0.46349942062572425,3.6493681,1,0,2,2,4
1773,7.3777589082278725,80,3.0,2.8368,14.184,0.9024252679075014,0.3143529,2,1,2,3,4
7541,7.958576903813898,25,12.0,21.56726,18.8525,0.3792600450868585,5.6866681,0,0,2,2,3
4166,7.696212639346407,25,13.0,9.1652,10.415,0.528084493518963,1.7355556,0,2,2,1,3
3332,5.736572297479192,65,10.0,1.03292,21.658,0.09303721488595439,1.1102224,1,2,2,2,3
1856,8.160518247477505,25,10.0,6.496,4.64,1.8857758620689655,0.3444736,1,1,2,2,4
1186,7.313220387090301,15,10.0,1.779,1.779,1.2647554806070826,0.1406596,1,1,2,2,4
